Compound	RNA.molecule	Compound.CID
"10,11-methylenedioxy-20(rs)-camptothecin"	hsa-mir-194-2	366358
"10,11-methylenedioxycamptothecin"	hsa-mir-153-1	72403
"10,11-methylenedioxycamptothecin"	hsa-mir-194-2	72403
"10,11-methylenedioxycamptothecin"	hsa-mir-200b	72403
"10,11-methylenedioxycamptothecin"	hsa-mir-200c	72403
"10,11-methylenedioxycamptothecin"	hsa-mir-203	72403
"10,11-methylenedioxycamptothecin"	hsa-mir-205	72403
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-let-7a-1	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-let-7a-2	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-let-7a-3	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-let-7c	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-let-7e	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-100	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-10a	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-10b	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-125a	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-142	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-222	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-23b	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-28	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-30a	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-30e	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-99a	395706
"10.beta.-hydroxy-17.beta.-acetoxyestra-1,4-dien-3-one"	hsa-mir-99b	395706
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-let-7b	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-let-7e	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-105-2	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-106a	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-125a	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-125b-2	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-134	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-142	400634
