miRNA_Name,id
MIMAT0004481,1
MIMAT0000062,2
MIMAT0004482,3
MIMAT0000063,4
MIMAT0000064,5
MIMAT0000065,6
MIMAT0000066,7
MIMAT0004486,8
MIMAT0004487,9
MIMAT0000067,10
MIMAT0004584,11
MIMAT0000414,12
MIMAT0004585,13
MIMAT0000415,14
MIMAT0000416,15
MIMAT0000098,16
MIMAT0000099,17
MIMAT0009196,18
MIMAT0000101,19
MIMAT0000102,20
MIMAT0000103,21
MIMAT0004672,22
MIMAT0000680,23
MIMAT0000104,24
MIMAT0004555,25
MIMAT0000253,26
MIMAT0004556,27
MIMAT0000254,28
MIMAT0005826,29
MIMAT0005955,30
MIMAT0005863,31
MIMAT0005865,32
MIMAT0005868,33
MIMAT0005871,34
MIMAT0000421,35
MIMAT0005459,36
MIMAT0005458,37
MIMAT0005572,38
MIMAT0005577,39
MIMAT0005576,40
MIMAT0005580,41
MIMAT0005583,42
MIMAT0005584,43
MIMAT0005588,44
MIMAT0005589,45
MIMAT0005591,46
MIMAT0005592,47
MIMAT0005593,48
MIMAT0000422,49
MIMAT0005896,50
MIMAT0005898,51
MIMAT0005899,52
MIMAT0005900,53
MIMAT0005901,54
MIMAT0005902,55
MIMAT0005903,56
MIMAT0005944,57
MIMAT0005904,58
MIMAT0005906,59
MIMAT0005945,60
MIMAT0005907,61
MIMAT0005908,62
MIMAT0004602,63
MIMAT0000443,64
MIMAT0004592,65
MIMAT0004603,66
MIMAT0000423,67
MIMAT0000445,68
MIMAT0005911,69
MIMAT0015041,70
MIMAT0005913,71
MIMAT0005914,72
MIMAT0005791,73
MIMAT0005918,74
MIMAT0005921,75
MIMAT0005922,76
MIMAT0005923,77
MIMAT0019059,78
MIMAT0000446,79
MIMAT0004604,80
MIMAT0005924,81
MIMAT0005929,82
MIMAT0005933,83
MIMAT0000424,84
MIMAT0005939,85
MIMAT0005799,86
MIMAT0005876,87
MIMAT0005878,88
MIMAT0005942,89
MIMAT0004548,90
MIMAT0004605,91
MIMAT0000242,92
MIMAT0005880,93
MIMAT0005881,94
MIMAT0005943,95
MIMAT0005883,96
MIMAT0005886,97
MIMAT0005887,98
MIMAT0005797,99
MIMAT0005891,100
MIMAT0005892,101
MIMAT0005951,102
MIMAT0000425,103
MIMAT0004593,104
MIMAT0000691,105
MIMAT0004680,106
MIMAT0000426,107
MIMAT0005952,108
MIMAT0000427,109
MIMAT0000770,110
MIMAT0000447,111
MIMAT0019776,112
MIMAT0004595,113
MIMAT0000428,114
MIMAT0000758,115
MIMAT0000448,116
MIMAT0000429,117
MIMAT0004607,118
MIMAT0000430,119
MIMAT0000250,120
MIMAT0004597,121
MIMAT0000431,122
MIMAT0000432,123
MIMAT0000434,124
MIMAT0000433,125
MIMAT0000435,126
MIMAT0004599,127
MIMAT0000436,128
MIMAT0000437,129
MIMAT0007347,130
MIMAT0000449,131
MIMAT0002809,132
MIMAT0000251,133
MIMAT0004928,134
MIMAT0000243,135
MIMAT0000759,136
MIMAT0004609,137
MIMAT0000450,138
MIMAT0004610,139
MIMAT0000451,140
MIMAT0000757,141
MIMAT0004697,142
MIMAT0000438,143
MIMAT0000439,144
MIMAT0007400,145
MIMAT0007401,146
MIMAT0000452,147
MIMAT0000646,148
MIMAT0004488,149
MIMAT0000068,150
MIMAT0004586,151
MIMAT0000417,152
MIMAT0004489,153
MIMAT0000069,154
MIMAT0000071,155
MIMAT0000070,156
MIMAT0004558,157
MIMAT0000270,158
MIMAT0000256,159
MIMAT0031893,160
MIMAT0022692,161
MIMAT0000257,162
MIMAT0004559,163
MIMAT0000258,164
MIMAT0026608,165
MIMAT0002821,166
MIMAT0000259,167
MIMAT0006765,168
MIMAT0006767,169
MIMAT0004560,170
MIMAT0000261,171
MIMAT0000454,172
MIMAT0000455,173
MIMAT0004612,174
MIMAT0000456,175
MIMAT0000262,176
MIMAT0000457,177
MIMAT0002891,178
MIMAT0000072,179
MIMAT0004751,180
MIMAT0001412,181
MIMAT0007881,182
MIMAT0000458,183
MIMAT0004929,184
MIMAT0001618,185
MIMAT0000440,186
MIMAT0007884,187
MIMAT0007885,188
MIMAT0007887,189
MIMAT0007888,190
MIMAT0007889,191
MIMAT0007892,192
MIMAT0000222,193
MIMAT0000459,194
MIMAT0002819,195
MIMAT0004767,196
MIMAT0004671,197
MIMAT0000460,198
MIMAT0000461,199
MIMAT0004562,200
MIMAT0000226,201
MIMAT0001080,202
