miRNA_Name,k-mer_vector_1,k-mer_vector_2,k-mer_vector_3,k-mer_vector_4,k-mer_vector_5,k-mer_vector_6,k-mer_vector_7,k-mer_vector_8,k-mer_vector_9,k-mer_vector_10,k-mer_vector_11,k-mer_vector_12,k-mer_vector_13,k-mer_vector_14,k-mer_vector_15,k-mer_vector_16,k-mer_vector_17,k-mer_vector_18,k-mer_vector_19,k-mer_vector_20,k-mer_vector_21,k-mer_vector_22,k-mer_vector_23,k-mer_vector_24,k-mer_vector_25,k-mer_vector_26,k-mer_vector_27,k-mer_vector_28,k-mer_vector_29,k-mer_vector_30,k-mer_vector_31,k-mer_vector_32,k-mer_vector_33,k-mer_vector_34,k-mer_vector_35,k-mer_vector_36,k-mer_vector_37,k-mer_vector_38,k-mer_vector_39,k-mer_vector_40,k-mer_vector_41,k-mer_vector_42,k-mer_vector_43,k-mer_vector_44,k-mer_vector_45,k-mer_vector_46,k-mer_vector_47,k-mer_vector_48,k-mer_vector_49,k-mer_vector_50,k-mer_vector_51,k-mer_vector_52,k-mer_vector_53,k-mer_vector_54,k-mer_vector_55,k-mer_vector_56,k-mer_vector_57,k-mer_vector_58,k-mer_vector_59,k-mer_vector_60,k-mer_vector_61,k-mer_vector_62,k-mer_vector_63,k-mer_vector_64
0,0,0,0,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0.105263158,0,0.052631579,0,0,0,0.105263158,0,0,0,0.052631579,0,0.052631579,0,0.052631579
1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.1,0.15,0,0,0.1,0,0,0.15,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0
2,0,0.05,0,0,0.05,0.05,0,0.05,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0.1,0,0,0,0,0.1,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0
3,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.15,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0.05,0,0.05,0.1,0,0,0.05,0
4,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.1,0,0,0.1,0.05,0,0,0,0,0.05,0,0.05,0.05,0,0,0.05,0
5,0,0,0,0,0,0,0,0,0.05,0,0.1,0.1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0.15,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0
6,0,0,0,0,0,0,0,0,0,0,0.15,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.05,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0
7,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0,0.05,0,0.05,0,0.05,0,0,0,0.05,0.05,0
8,0,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.05,0,0.05,0,0.1,0,0,0,0.05,0,0.05,0,0.05
9,0,0,0,0,0,0,0,0,0.05,0,0.05,0.1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0.15,0,0,0.05,0,0,0.15,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0
